,ticker,number_of_investors,total_value,total_units
1166,WWAV,1,483974000,12438275
1167,WY,8,4815043000,160608278
1168,WYN,7,3794317000,52227268
1169,WYNN,3,2317295000,33491773
1170,XBI,3,1918473000,27328673
1171,XEC,4,2051553000,22953050
1172,XEL,9,6560507000,182693032
1173,XL,7,4965173000,126727247
1174,XLE,6,4064213000,67311900
1175,XLF,11,7750908000,325384880
1176,XLI,4,2897307000,54655838
1177,XLK,2,1260503000,29430357
1178,XLNX,4,2794957000,59505099
1179,XLP,5,2906068000,57557265
1180,XLU,3,1496448000,34575955
1181,XLV,6,6099451000,84677858
1182,XLY,5,3973008799,50832033
1183,XOM,76,132897883241,1704685724
1184,XON,1,1873741000,62147301
1185,XPO,2,801006000,29630918
1186,XRAY,5,2872345792,47203543
1187,XRT,1,433238888,10019400
1188,XRX,5,3491028000,328409427
1189,XT,1,588413000,23697657
1190,XYL,4,1782379000,48832261
1191,Y,1,492568000,1030628
1192,YUM,15,12248169000,167718944
1193,Z,3,1860288000,76409444
1194,ZAYO,1,496477000,18671561
1195,ZBH,12,16055091000,156497664
1196,ZBRA,2,871913000,10823605
1197,ZION,2,884378000,32394800
1198,ZTS,14,11053165000,230658813
